#
# Derot pos    rerot pos   CL X     CL Y

30.0            302.3      28.9       7.0
60.0            287.3       7.2       9.3
90.0            272.3     -24.0      -1.5
120.0           257.3     -30.9     -10.5 
150.0           242.3     -36.7     -28.3 
180.0           227.3     -27.7     -43.4
210.0           212.3      -8.0     -52.8
240.0           197.3      17.5     -56.3   # 8.2, -54.2
270.0           182.3      40.1     -51.6 
300.0           167.3      56.3     -39.2
330.0           152.3      56.8     -20.5
360.0           137.3      47.8      -9.7  
